CODICESCUOLA,ORDINESCUOLA,AREAGEOGRAFICA,DENOMINAZIONEISTITUTORIFERIMENTO,PROVINCIA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,LONG_X_4326,LAT_Y_4326,Total
MIEE8AQ02Q,SCUOLA PRIMARIA,NORD OVEST,IC CARLO E. BUSCAGLIA,MILANO,PRIMARIA M.TE ORTIGARA,VIA MONTE ORTIGARA N.2,9.2132162,45.5599409,414
MIEE8AR013,SCUOLA PRIMARIA,NORD OVEST,IC G. GARIBALDI,MILANO,PRIMARIA GARIBALDI,VIA VERGA 115,9.2010752,45.5521643,302
MIEE8AR02G,SCUOLA PRIMARIA,NORD OVEST,IC G. GARIBALDI,MILANO,PRIMARIA C.VILLA,VIA VERGA 4,9.2090943,45.5545652,171
MIEE8AS01V,SCUOLA PRIMARIA,NORD OVEST,IC R. ZANDONAI,MILANO,PRIMARIA ZANDONAI,VIA ZANDONAI 17,9.2122306,45.5679427,182
MIEE8AS02R,SCUOLA PRIMARIA,NORD OVEST,IC R. ZANDONAI,MILANO,PRIMARIA G. PARINI,VIA PARINI 23,9.201957,45.5563932,209
MIEE8AS03T,SCUOLA PRIMARIA,NORD OVEST,IC R. ZANDONAI,MILANO,PRIMARIA PARCO DEI FIORI,VIA GUARDI 39,9.2066088,45.5611263,132
MIEE8AU01E,SCUOLA PRIMARIA,NORD OVEST,IC IV E. MONTALE,MILANO,PRIMARIA EUGENIO MONTALE,VIA M.L. KING 7,9.2781094,45.5219497,185
MIEE8AU02C,SCUOLA PRIMARIA,NORD OVEST,IC IV E. MONTALE,MILANO,PRIMARIA ITALO CALVINO,VIA LIGURIA 11,9.2742259,45.5256208,218
MIEE8AU03D,SCUOLA PRIMARIA,NORD OVEST,IC IV E. MONTALE,MILANO,PRIMARIA ARCIMBOLDO,VIA PISA 14,9.2686718,45.5229565,113
MIEE8AV014,SCUOLA PRIMARIA,NORD OVEST,IC EMANUELA LOI,MILANO,PRIMARIA BUSTIGHERA,VIA EUROPA 4,9.33724,45.39963,184
MIEE8AV025,SCUOLA PRIMARIA,NORD OVEST,IC EMANUELA LOI,MILANO,PRIMARIA MOMBRETTO,VIA VERGA,9.3649877,45.4219619,158
MIEE8AV039,SCUOLA PRIMARIA,NORD OVEST,IC EMANUELA LOI,MILANO,PRIMARIA BETTOLINO,VIA STELLA POLARE 13,9.3410326,45.4346342,169
MIEE8AW024,SCUOLA PRIMARIA,NORD OVEST,IC A. MANZONI,MILANO,"PRIMARIA I MAGGIO""",VIA ARIOSTO 22,9.1626953,45.5501201,261
MIEE8AX01Q,SCUOLA PRIMARIA,NORD OVEST,IC E. FERMI,MILANO,PRIMARIA E. FERMI,P.ZZA TRENTO TRIESTE 1,8.911855,45.6005874,364
MIEE8AY01G,SCUOLA PRIMARIA,NORD OVEST,GIOVANNI XXIII,MILANO,PRIMARIA GIOVANNI XXIII,VIALE ROMA 27,9.19057,45.55788,274
MIEE8AY02L,SCUOLA PRIMARIA,NORD OVEST,GIOVANNI XXIII,MILANO,PRIMARI L.BUFFOLI,VIALE COOPERAZ. ANG. EDERA 28,9.190547,45.5522193,197
MIEE8AZ01B,SCUOLA PRIMARIA,NORD OVEST,IC R0VANI,MILANO,PRIMARIA G. ROVANI,VIA RISORGIMENTO 90,9.228555,45.5335324,194
MIEE8AZ02G,SCUOLA PRIMARIA,NORD OVEST,IC R0VANI,MILANO,PRIMARIA XXV APRILE,VIA N.BIXIO 30,9.2223085,45.5341588,290
MIEE8B001P,SCUOLA PRIMARIA,NORD OVEST,I. C. CLAUDIO ABBADO,MILANO,PRIMARIA VIA PIAVE,VIA PIAVE 60,9.2841962,45.5205298,236
MIEE8B002Q,SCUOLA PRIMARIA,NORD OVEST,I. C. CLAUDIO ABBADO,MILANO,PRIMARIA C. BATTISTI,VIA MATTEOTTI,9.2864685,45.5153438,210
MIEE8B003R,SCUOLA PRIMARIA,NORD OVEST,I. C. CLAUDIO ABBADO,MILANO,PRIMARIA VIA FIUME,VIA FIUME 22,9.2798409,45.5149369,169
MIEE8B201A,SCUOLA PRIMARIA,NORD OVEST,IC AI NOSTRI CADUTI,MILANO,PRIMARIA AI NOSTRI CADUTI,P.ZZA ITALIA 1,9.5193191,45.6069418,410
MIEE8B202B,SCUOLA PRIMARIA,NORD OVEST,IC AI NOSTRI CADUTI,MILANO,PRIMARIA DON GNOCCHI,VIA DON GNOCCHI,9.5242853,45.5994835,104
MIEE8B3016,SCUOLA PRIMARIA,NORD OVEST,IC A. DIAZ,MILANO,PRIMARIA A. DIAZ,V.LE DELLA VITTORIA 11,9.5264403,45.5740868,414
MIEE8B3038,SCUOLA PRIMARIA,NORD OVEST,IC A. DIAZ,MILANO,PRIMARIA E. PESTALOZZI,VIA UNIONE,9.4984792,45.5690312,320
MIEE8B4012,SCUOLA PRIMARIA,NORD OVEST,IC LUIGI GALVANI,MILANO,PRIM. M.DI SAVOIA E C.BORROMEO,VIA FELICE CASATI 6,9.2066535,45.477423,166
MIEE8B4023,SCUOLA PRIMARIA,NORD OVEST,IC LUIGI GALVANI,MILANO,PRIMARIA LUIGI GALVANI,VIA GALVANI 7,9.2005245,45.485577,187
MIEE8B501T,SCUOLA PRIMARIA,NORD OVEST,IC A.MANZONI,MILANO,PRIMARIA A. MANZONI,VIA MARIO BELLI 24,9.4542073,45.5119959,211
MIEE8B502V,SCUOLA PRIMARIA,NORD OVEST,IC A.MANZONI,MILANO,PRIMARIA ADA NEGRI,VIA DEL MERLO 2,9.4807662,45.5150331,109
MIEE8B503X,SCUOLA PRIMARIA,NORD OVEST,IC A.MANZONI,MILANO,PRIMARIA F.LLI FERRANDI,VIA GIOVANNI PASCOLI 1,9.4731173,45.4862648,116
MIEE8B5041,SCUOLA PRIMARIA,NORD OVEST,IC A.MANZONI,MILANO,PRIMARIA C.NOSOTTI - ALBIGNANO,VIA DELLA CHIESA,9.4688647,45.4839671,91
MIEE8B601N,SCUOLA PRIMARIA,NORD OVEST,IC A. STOPPANI,MILANO,PRIMARIA A. STOPPANI,VIA STOPPANI 1,9.211662,45.476154,305
MIEE8B602P,SCUOLA PRIMARIA,NORD OVEST,IC A. STOPPANI,MILANO,PRIMARIA BACONE,VIA MATTEUCCI 3,9.215982,45.481212,520
MIEE8B701D,SCUOLA PRIMARIA,NORD OVEST,IC PISACANE E POERIO,MILANO,PRIMARIA PISACANE E POERIO,VIA PISACANE 9,9.2110635,45.469422,585
MIEE8B8019,SCUOLA PRIMARIA,NORD OVEST,IC TOMMASO GROSSI,MILANO,PRIMARIA TOMMASO GROSSI,VIA MONTE VELINO 2/4,9.2245095,45.452871,277
MIEE8B802A,SCUOLA PRIMARIA,NORD OVEST,IC TOMMASO GROSSI,MILANO,PRIMARIA OTTOLINI BELGIOIOSO,VIA COLLETTA49,9.211788,45.448911,455
MIEE8B9015,SCUOLA PRIMARIA,NORD OVEST,IC MOROSINI MANARA,MILANO,PRIMARIA E.MOROSINI E B.SAVOIA,VIA MOROSINI 11/13,9.211428,45.460422,556
MIEE8BA02G,SCUOLA PRIMARIA,NORD OVEST,IC GIOVANNI XXIII,MILANO,PRIMARIA VIA GIOVANNI XXIII,VIA GIOVANNI XXIII,9.0743154,45.5888031,203
MIEE8BA03L,SCUOLA PRIMARIA,NORD OVEST,IC GIOVANNI XXIII,MILANO,PRIMARIA M. C. LUINETTI,VIA BELLINI,9.0706703,45.5949143,367
MIEE8BB01A,SCUOLA PRIMARIA,NORD OVEST,IC A. DIAZ,MILANO,PRIMARIA A.DIAZ,VIA CROCEFISSO 15,9.185886,45.456948,376
MIEE8BB02B,SCUOLA PRIMARIA,NORD OVEST,IC A. DIAZ,MILANO,PRIMARIA DE MARCHI,VIA SANT'ORSOLA 15,9.180513,45.462591,268
MIEE8BC016,SCUOLA PRIMARIA,NORD OVEST,IC VIA LAMARMORA,MILANO,PRIMARIA LAMARMORA,VIA BUONARROTI 2,9.0211842,45.577127,280
MIEE8BC027,SCUOLA PRIMARIA,NORD OVEST,IC VIA LAMARMORA,MILANO,PRIMARIA VIA LITTA,VIA LITTA 57,9.0312197,45.5721876,329
MIEE8BD012,SCUOLA PRIMARIA,NORD OVEST,IC MILANO SPIGA,MILANO,PRIMARIA VIA DELLA SPIGA,VIA DELLA SPIGA 29,9.195651,45.471123,89
MIEE8BD023,SCUOLA PRIMARIA,NORD OVEST,IC MILANO SPIGA,MILANO,PRIMARIA A. DA GIUSSANO,BASTIONI DI PORTA NUOVA 4,9.191187,45.480024,152
MIEE8BE01T,SCUOLA PRIMARIA,NORD OVEST,IC DI VIA CAIROLI,MILANO,PRIMARIA ALBERTO MANZI,VIA CAIROLI 33,9.0181895,45.5454668,223
MIEE8BE02V,SCUOLA PRIMARIA,NORD OVEST,IC DI VIA CAIROLI,MILANO,PRIMARIA DOMENICO GHEZZI,VIA SICILIA 9,9.0169298,45.5567041,240
MIEE8BF01N,SCUOLA PRIMARIA,NORD OVEST,IC RITA LEVI MONTALCINI,MILANO,PRIMARIA GRAZIA DELEDDA,VIA MAZZINI6,9.4021842,45.5323579,490
MIEE8BG01D,SCUOLA PRIMARIA,NORD OVEST,IC MONTE GRAPPA,MILANO,PRIMARIA BUSSERO,VIA SANTI 4,9.3744645,45.5318874,296
MIEE8BH019,SCUOLA PRIMARIA,NORD OVEST,IC DI CASSINA DE' PECCH,MILANO,PRIMARIA P.ZZA UNITA' D'ITALIA,P.ZZA UNITA' D'ITALIA,9.3333575,45.5250153,574
MIEE8BJ015,SCUOLA PRIMARIA,NORD OVEST,IC DI CARUGATE,MILANO,PRIMARIA MARIA MONTESSORI,VIA DEL GINESTRINO 17,9.3500235,45.5528809,305
MIEE8BJ026,SCUOLA PRIMARIA,NORD OVEST,IC DI CARUGATE,MILANO,PRIMARIA S.CATERINA DA SIENA,VIA ROMA 9,9.3371853,45.5507068,322
MIEE8BK01P,SCUOLA PRIMARIA,NORD OVEST,IC A.B. SABIN,MILANO,PRIMARIA A. MERINI,VIA REGGIO EMILIA,9.2679286,45.4817042,175
MIEE8BK02B,SCUOLA PRIMARIA,NORD OVEST,IC A.B. SABIN,MILANO,GIANNI RODARI,VIA FRATELLI CERVI,9.2688288,45.4983702,412
MIEE8BL01E,SCUOLA PRIMARIA,NORD OVEST,I.C. IQBAL MASIH,MILANO,PRIMARIA VIA MOLISE,VIA MOLISE 3,9.3226924,45.4823451,215
MIEE8BL027,SCUOLA PRIMARIA,NORD OVEST,I.C. IQBAL MASIH,MILANO,PRIMARIA FALCONE-BORSELLINO,VIA BOLIVIA 3,9.3270173,45.4913151,168
MIEE8BL038,SCUOLA PRIMARIA,NORD OVEST,I.C. IQBAL MASIH,MILANO,PRIMARIA GIANNI RODARI,VIA GALILEI,9.3238629,45.4931179,199
MIEE8BM01A,SCUOLA PRIMARIA,NORD OVEST,IC PIETRO MASCAGNI,MILANO,PRIMARIA G. RODARI,VIA DANTE ALIGHIERI 5,9.409119,45.478608,160
MIEE8BM023,SCUOLA PRIMARIA,NORD OVEST,IC PIETRO MASCAGNI,MILANO,PRIMARIA SAINT EXUPERY,VIA BOLOGNA 14,9.4273351,45.4955968,292
MIEE8BN016,SCUOLA PRIMARIA,NORD OVEST,IC LEONARDO DA VINCI,MILANO,PRIMARIA SETTALA ROALD DAHL,VIA TRENTO 15,9.3940943,45.4535593,172
MIEE8BN027,SCUOLA PRIMARIA,NORD OVEST,IC LEONARDO DA VINCI,MILANO,PRIMARIA RODANO MARGHERITA HACK,VIA DELLE QUERCE 14,9.3414243,45.465091,158
MIEE8BN038,SCUOLA PRIMARIA,NORD OVEST,IC LEONARDO DA VINCI,MILANO,PRIMARIA CALEPPIO,VIA SALVEMINI 2,9.3829227,45.4367835,143
MIEE8BP012,SCUOLA PRIMARIA,NORD OVEST,"I.C. ""CARLO LEVI""",MILANO,PRIMARIA VIA GALVANI,VIA GALVANI 1,9.3748857,45.4975547,396
MIEE8BR01N,SCUOLA PRIMARIA,NORD OVEST,IC GIOVANNI TESTORI,MILANO,PRIMARIA ITALO CALVINO,VIA BRODOLINI 45,9.1367758,45.5381231,319
MIEE8BR02P,SCUOLA PRIMARIA,NORD OVEST,IC GIOVANNI TESTORI,MILANO,PRIMARIA MARIA MONTESSORI,VIA CORNICIONE 10,9.1422917,45.5287237,215
MIEE8BT019,SCUOLA PRIMARIA,NORD OVEST,IC DI PERO,MILANO,PRIMARIA G. MARCONI,VIA GIOVANNI XXIII 6,9.0792492,45.5119201,381
MIEE8BT02A,SCUOLA PRIMARIA,NORD OVEST,IC DI PERO,MILANO,PRIMARIA G.GALILEI,VIA GIOVANNA D'ARCO 5/7,9.0660973,45.5162268,101
MIEE8BU015,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO NEGLIA,MILANO,PRIMARIA PAOLO NEGLIA,VIA GARIBALDI 27,9.0004823,45.5283907,355
MIEE8BU023,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO NEGLIA,MILANO,PRIMARIA DON MILANI,VIA GARIBALDI 21,8.9904495,45.5353084,279
MIEE8BV01P,SCUOLA PRIMARIA,NORD OVEST,IC FABRIZIO DE ANDRE',MILANO,PRIMARIA VIA DELEDDA,VIA GRAZIA DELEDDA 2,9.0143973,45.5350007,117
MIEE8BV02Q,SCUOLA PRIMARIA,NORD OVEST,IC FABRIZIO DE ANDRE',MILANO,PRIMARIA SALVO D'ACQUISTO,VIA CASTELLAZZO 1,9.0323542,45.5283279,310
MIEE8BW01E,SCUOLA PRIMARIA,NORD OVEST,IC ROSANNA GALBUSERA,MILANO,PRIMARIA NOVEGRO,VIA NOVEGRO,9.2814017,45.4688417,95
MIEE8BW02G,SCUOLA PRIMARIA,NORD OVEST,IC ROSANNA GALBUSERA,MILANO,PRIMARIA STRADA ANULARE,STRADA ANULARE,9.3071439,45.4742163,209
MIEE8BX01A,SCUOLA PRIMARIA,NORD OVEST,IC ALBERT SCHWEITZER,MILANO,PRIMARIA A.SCHWEITZER,VIA DE AMICIS,9.2960397,45.4943251,212
MIEE8BX02B,SCUOLA PRIMARIA,NORD OVEST,IC ALBERT SCHWEITZER,MILANO,PRIMARIA ENRICO FERMI,VIA MODIGLIANI,9.2940433,45.4874069,231
MIEE8BX03G,SCUOLA PRIMARIA,NORD OVEST,IC ALBERT SCHWEITZER,MILANO,PRIMARIA RENATO DONATELLI,VIA PIETRO NENNI 4,9.2867219,45.4973222,290
MIEE8C1015,SCUOLA PRIMARIA,NORD OVEST,IC G. BORSI,MILANO,PRIMARIA G.BORSI,VIA M. VISCONTINI 7,9.1035135,45.502983,350
MIEE8C1026,SCUOLA PRIMARIA,NORD OVEST,IC G. BORSI,MILANO,PRIMARIA VIA CILEA,VIA CILEA 12,9.105201702,45.49711957,121
MIEE8C1037,SCUOLA PRIMARIA,NORD OVEST,IC G. BORSI,MILANO,PRIMARIA VIA A.VISCONTI,VIA A. VISCONTI 16,9.1002105,45.503784,91
MIEE8C1048,SCUOLA PRIMARIA,NORD OVEST,IC G. BORSI,MILANO,PRIMARIA I.NIEVO,VIA SILLA 150,9.13131878,45.45187518,104
MIEE8C301R,SCUOLA PRIMARIA,NORD OVEST,IC RICCARDO MASSA,MILANO,PRIMARIA VIA BROCCHI,VIA BROCCHI VIRGILIO5,9.120087,45.492822,425
MIEE8C302T,SCUOLA PRIMARIA,NORD OVEST,IC RICCARDO MASSA,MILANO,PRIMARIA VIA QUARENGHI,VIA QUARENGHI 10,9.12078,45.494586,200
MIEE8C303V,SCUOLA PRIMARIA,NORD OVEST,IC RICCARDO MASSA,MILANO,PRIMARIA VIA DELLE ANDE,VIA DELLE ANDE 4,9.124974,45.494262,210
MIEE8C401L,SCUOLA PRIMARIA,NORD OVEST,IC L.CADORNA,MILANO,PRIMARIA M.L. KING,P.ZZA SANTA MARIA NASCENTE. 30,9.137025922,45.48612686,188
MIEE8C402N,SCUOLA PRIMARIA,NORD OVEST,IC L.CADORNA,MILANO,PRIMARIA L. CADORNA,VIA DOLCI 5,9.142974,45.471969,497
MIEE8C501C,SCUOLA PRIMARIA,NORD OVEST,IC S.GIUSEPPE CALASANZIO,MILANO,PRIMARIA GIUSEPPE CALASANZIO,VIA DON GNOCCHI 25,9.125028,45.472473,309
MIEE8C502D,SCUOLA PRIMARIA,NORD OVEST,IC S.GIUSEPPE CALASANZIO,MILANO,PRIMARIA .L.RADICE,VIA PARAVIA 83,9.135582474,45.47455775,130
MIEE8C503E,SCUOLA PRIMARIA,NORD OVEST,IC S.GIUSEPPE CALASANZIO,MILANO,PRIMARIA VIA MONTE BALDO,VIA MONTE BALDO 11,9.119223,45.475524,124
MIEE8C504G,SCUOLA PRIMARIA,NORD OVEST,IC S.GIUSEPPE CALASANZIO,MILANO,PRIMARIA DON GNOCCHI,VIA GOZZADINI 7,9.130239,45.47277,23
MIEE8C6018,SCUOLA PRIMARIA,NORD OVEST,IC ALDA MERINI,MILANO,PRIMARIA MAGREGLIO,VIA MAGREGLIO 1,9.1329615,45.495954,168
MIEE8C6029,SCUOLA PRIMARIA,NORD OVEST,IC ALDA MERINI,MILANO,PRIMARIA PARETO,VIA PARETO 26,9.126025043,45.50266232,166
MIEE8C7014,SCUOLA PRIMARIA,NORD OVEST,I.C. LUCIANO MANARA,MILANO,PRIMARIA LUCIANO MANARA,VIA LAMENNAIS20,9.113112155,45.4737126,265
MIEE8C7025,SCUOLA PRIMARIA,NORD OVEST,I.C. LUCIANO MANARA,MILANO,PRIMARIA C. POMA,VIA AIRAGHI 42,9.0850815,45.475632,119
MIEE8C7047,SCUOLA PRIMARIA,NORD OVEST,I.C. LUCIANO MANARA,MILANO,PRIM. EDUC SPORT E MUS S.GIUSTO,VIA SAN GIUSTO 65,9.1179495,45.471348,260
MIEE8C801X,SCUOLA PRIMARIA,NORD OVEST,IC DANTE ALIGHIERI,MILANO,PRIMARIA DANTE ALIGHIERI,VIA FALCK 110,9.2407064,45.5375645,299
MIEE8CA015,SCUOLA PRIMARIA,NORD OVEST,IC DI INZAGO,MILANO,PRIMARIA F. FILZI,VIA BRAMBILLA 4,9.4830456,45.5405296,395
MIEE8CA026,SCUOLA PRIMARIA,NORD OVEST,IC DI INZAGO,MILANO,"PRIMARIA ""G. MALENZA""",VIA MALENZA 2,9.4469613,45.5407217,164
MIEE8CA037,SCUOLA PRIMARIA,NORD OVEST,IC DI INZAGO,MILANO,PRIMARIA ALICE STURIALE,VIA B. MUNARI 4,9.3272576,45.4858587,110
MIEE8CB011,SCUOLA PRIMARIA,NORD OVEST,IC JACOPO BAROZZI,MILANO,PRIMARIA VIA BOCCONI,VIA BOCCONI 17,9.190761609,45.44908047,417
MIEE8CB022,SCUOLA PRIMARIA,NORD OVEST,IC JACOPO BAROZZI,MILANO,PRIMARIA VIA G.ROMANO,VIA G.ROMANO 2,9.198594,45.448497,199
MIEE8CC01R,SCUOLA PRIMARIA,NORD OVEST,IC QUINTINO DI VONA,MILANO,PRIMARIA QUINT. DI VONA,VIA QUINTINO DI VONA,9.5136676,45.5212613,355
MIEE8CC02T,SCUOLA PRIMARIA,NORD OVEST,IC QUINTINO DI VONA,MILANO,PRIMARIA VIA G.PASCOLI,VIA G.PASCOLI 92,9.5223068,45.5323893,338
MIEE8CC03V,SCUOLA PRIMARIA,NORD OVEST,IC QUINTINO DI VONA,MILANO,PRIMARIA VIALE RIMEMBRANZE,VIALE RIMEMBRANZE 2,9.5220187,45.5423206,125
MIEE8CC04X,SCUOLA PRIMARIA,NORD OVEST,IC QUINTINO DI VONA,MILANO,PRIMARIA VIA DON CASTELLAZZI,VIA DON CASTELLAZZI,9.5313215,45.5134278,77
MIEE8CD01L,SCUOLA PRIMARIA,NORD OVEST,IC P. THOUAR E L. GONZAGA,MILANO,PRIMARIA THOUAR GONZAGA,VIA BRUNACCI 2/4,9.1773585,45.444672,291
MIEE8CD02N,SCUOLA PRIMARIA,NORD OVEST,IC P. THOUAR E L. GONZAGA,MILANO,PRIM. PIOLTI DE BIANCHI GASPARA,VIA GENTILINO 14,9.18243,45.449091,260
MIEE8CE01C,SCUOLA PRIMARIA,NORD OVEST,"IC ""G. PASCOLI""",MILANO,PRIMARIA PASCOLI,VIA RASORI 19,9.161322733,45.46773866,468
MIEE8CE02D,SCUOLA PRIMARIA,NORD OVEST,"IC ""G. PASCOLI""",MILANO,PRIMARIA RUFFINI,VIA RUFFINI 4/6,9.170253,45.466425,273
MIEE8CF018,SCUOLA PRIMARIA,NORD OVEST,IC C. CANTU',MILANO,PRIMARIA C.CANTU',VIA DEI BRASCHI 12,9.176679,45.526419,261
MIEE8CF029,SCUOLA PRIMARIA,NORD OVEST,IC C. CANTU',MILANO,PRIMARIA ANNA FRANK,VIA DORA BALTEA 16,9.1682235,45.52794,315
MIEE8CG014,SCUOLA PRIMARIA,NORD OVEST,IC VIA SCIALOIA,MILANO,PRIMARIA VIA SCIALOIA,VIA SCIALOIA 19,9.179478,45.509175,278
MIEE8CH01X,SCUOLA PRIMARIA,NORD OVEST,IC CONFALONIERI,MILANO,PRIMARIA F. CONFALONIERI,VIA DAL VERME 10,9.1879335,45.487359,410
MIEE8CH021,SCUOLA PRIMARIA,NORD OVEST,IC CONFALONIERI,MILANO,PRIMARIA CRESPI LAMBRUSCHINI,VIA CRESPI 1,9.2221875,45.493038,195
MIEE8CJ01Q,SCUOLA PRIMARIA,NORD OVEST,IC M. GANDHI,MILANO,PRIMARIA GALILEO GALILEI,PIAZZA ALDO MORO2,9.4938926,45.5903246,112
MIEE8CJ02R,SCUOLA PRIMARIA,NORD OVEST,IC M. GANDHI,MILANO,PRIMARIA CARLO PORTA,VIA COLOMBO9,9.4894317,45.5827518,235
MIEE8CK019,SCUOLA PRIMARIA,NORD OVEST,IC BASIANO,MILANO,PRIMARIA BASIANO,VIA ROMA 11,9.4705476,45.5731754,132
MIEE8CK02A,SCUOLA PRIMARIA,NORD OVEST,IC BASIANO,MILANO,PRIMARIA MASATE,VIA MONTE GRAPPA 16,9.4606384,45.5689533,171
MIEE8CR04B,SCUOLA PRIMARIA,NORD OVEST,IC SORELLE AGAZZI,MILANO,PRIMARIA VIA GABBRO,VIA GABBRO 6,9.159282,45.514593,221
MIEE8CR05C,SCUOLA PRIMARIA,NORD OVEST,IC SORELLE AGAZZI,MILANO,PRIMARIA P.ZZA GASPARRI,P.ZZA GASPARRI 6,9.1618605,45.525897,169
MIEE8CS014,SCUOLA PRIMARIA,NORD OVEST,IC DON ORIONE,MILANO,PRIMARIA DON ORIONE,VIA FABRIANO 4,9.175158,45.515484,308
MIEE8CS036,SCUOLA PRIMARIA,NORD OVEST,IC DON ORIONE,MILANO,PRIMARIA F.CARACCIOLO,VIA ISEO 7,9.1738755,45.520056,372
MIEE8CT01X,SCUOLA PRIMARIA,NORD OVEST,IC VITTORIO LOCCHI,MILANO,PRIMARIA VITTORIO LOCCHI,VIA PASSERINI 4/8,9.2046645,45.44937,287
MIEE8CT021,SCUOLA PRIMARIA,NORD OVEST,IC VITTORIO LOCCHI,MILANO,PRIMARIA DUCA DEGLI ABRUZZI,VIA CESARI 38,9.186009085,45.51950424,439
MIEE8CV019,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO E LARISSA PINI,MILANO,PRIMARIA PAOLO E LARISSA PINI,VIA STEFANARDO VIMERCATE14,9.2264805,45.50634,76
MIEE8CV02A,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO E LARISSA PINI,MILANO,PRIMARIA F.CRISPI,VIA SANT'ERLEMBARDO 4,9.2204415,45.505494,359
MIEE8CV03E,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO E LARISSA PINI,MILANO,PRIMARIA MARTIRI DI GORLA,VIA CESALPINO 38,9.23229,45.507618,365
MIEE8CW015,SCUOLA PRIMARIA,NORD OVEST,IC Q.DI VONA-TITO SPERI,MILANO,PRIMARIA TITO SPERI,VIA PORPORA 11,9.220608757,45.48612428,317
MIEE8CY01R,SCUOLA PRIMARIA,NORD OVEST,IC G. CAPPONI,MILANO,PRIMARIA GINO CAPPONI,VIA PESTALOZZI 13,9.2225655,45.481905,483
MIEE8CY02T,SCUOLA PRIMARIA,NORD OVEST,IC G. CAPPONI,MILANO,PRIMARIA DOMENICO MORO,VIA PESCARENICO 6,9.171693,45.432738,361
MIEE8CZ01L,SCUOLA PRIMARIA,NORD OVEST,IC NARCISI,MILANO,PRIMARIA VIA DEI NARCISI,VIA DEI NARCISI 2,9.128673,45.450108,217
MIEE8CZ02N,SCUOLA PRIMARIA,NORD OVEST,IC NARCISI,MILANO,PRIMARIA VIA U. PISA,VIA PISA 1,9.1210275,45.453213,336
MIEE8CZ03P,SCUOLA PRIMARIA,NORD OVEST,IC NARCISI,MILANO,PRIMARIA VIA ANEMONI,VIA ANEMONI 8,9.1305045,45.455715,243
MIEE8D001X,SCUOLA PRIMARIA,NORD OVEST,IC IQBAL MASIH,MILANO,PRIMARIA VIA VITERBO,VIA VITERBO 31,9.1076805,45.456111,258
MIEE8D0021,SCUOLA PRIMARIA,NORD OVEST,IC IQBAL MASIH,MILANO,PRIMARIA VIA FORZE ARMATE,VIA FORZE ARMATE 279,9.103446,45.458973,313
MIEE8D0032,SCUOLA PRIMARIA,NORD OVEST,IC IQBAL MASIH,MILANO,PRIMARIA VIA VALDAGNO,VIA VALDAGNO 8,9.112437,45.461259,192
MIEE8D101Q,SCUOLA PRIMARIA,NORD OVEST,IC RINNOVATA PIZZIGONI,MILANO,PRIMARIA RINNOVATA PIZZIGONI,VIA C.DA CASTELLO 10,9.0881865,45.457623,599
MIEE8D102R,SCUOLA PRIMARIA,NORD OVEST,IC RINNOVATA PIZZIGONI,MILANO,PRIMARIA DANTE ALIGHIERI,VIA MAC MAHON 100,9.156042,45.495567,231
MIEE8D201G,SCUOLA PRIMARIA,NORD OVEST,IC VIA CONSOLE MARCELLO,MILANO,PRIMARIA VIA CONSOLE MARCELLO,VIA CONSOLE MARCELLO 9,9.148122,45.498816,363
MIEE8D202L,SCUOLA PRIMARIA,NORD OVEST,IC VIA CONSOLE MARCELLO,MILANO,PRIMARIA CAPPELLINI,VIA DE ROSSI 2,9.1869435,45.467703,284
MIEE8D301B,SCUOLA PRIMARIA,NORD OVEST,I.C. A. SCARPA,MILANO,PRIMARIA A.SCARPA,VIA CLERICETTI 22,9.235674,45.478071,309
MIEE8D303D,SCUOLA PRIMARIA,NORD OVEST,I.C. A. SCARPA,MILANO,ELSA MORANTE - MILANO,VIA TOMMASO PINI 3,9.240379844,45.48540779,350
MIEE8D4017,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA MANIAGO,MILANO,"PRIMARIA ""E. FERMI""",VIA CARNIA 32,9.235989,45.495081,283
MIEE8D4028,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA MANIAGO,MILANO,PRIMARIA B.MUNARI,VIA FELTRE 68/1,9.2446785,45.490707,405
MIEE8D5013,SCUOLA PRIMARIA,NORD OVEST,IC VIA VIQUARTERIO,MILANO,PRIMARIA L. GEMELLI,VIA L. GEMELLI,9.2025121,45.3567,103
MIEE8D5024,SCUOLA PRIMARIA,NORD OVEST,IC VIA VIQUARTERIO,MILANO,PRIMARIA VIALE DEI PINI,VIALE DEI PINI,9.1959206,45.3464955,217
MIEE8D701P,SCUOLA PRIMARIA,NORD OVEST,IC S. ALLENDE,MILANO,PRIMARIA MANZONI,VIA CORRIDORI 38,9.1433908,45.5737384,277
MIEE8D702Q,SCUOLA PRIMARIA,NORD OVEST,IC S. ALLENDE,MILANO,PRIMARIA MAZZINI,VIA S. MICHELE DEL CARSO 29,9.1684272,45.5745751,407
MIEE8D801E,SCUOLA PRIMARIA,NORD OVEST,IC PADERNO DUGNANO VIA MANZONI,MILANO,LIA DE VECCHI FISOGNI,VIA MANZONI 31,9.1585927,45.5799888,348
